,AGE_CAT_0-4,AGE_CAT_10-14,AGE_CAT_15-19,AGE_CAT_20-24,AGE_CAT_25-29,AGE_CAT_30-34,AGE_CAT_35-39,AGE_CAT_40-44,AGE_CAT_45-49,AGE_CAT_5-9,AGE_CAT_50-54,AGE_CAT_55-59,AGE_CAT_60-64,AGE_CAT_65-69,AGE_CAT_70-74,AGE_CAT_75-79,AGE_CAT_80-84,AGE_CAT_85-89,AGE_CAT_90+,BUSINESSES,CRIME,OUTDOOR,PARKS,POPULATION,TRANSIT_SCORE,UNEMPL_15+,UNEMPL_15-24,UNIVERSITY
CALGARY,0.06383995120567601,0.053175434219010005,0.05678524739447201,0.068300679381341,0.08546186486161701,0.09343430573653101,0.082915517718154,0.077784436288361,0.07126786335030101,0.059873279776160006,0.072441514699787,0.065002939459921,0.048416139376607006,0.035442706833835005,0.023005272545159,0.016957164924672002,0.013060869923744,0.008309394684518,0.004525417620125,0,0.6039999999999991,0.6899999999999991,0.88,1214839,0.43,0.048,0.098,0.7142857142857141
EDMONTON,0.061927741682915004,0.051831301899434,0.057202869855227004,0.075901346844439,0.090960558311814,0.08960467970096801,0.07594200061733501,0.06844137951802601,0.06650505537194401,0.057247287866354,0.07189318597595401,0.06555044455653501,0.05142099993224301,0.03891996476673,0.026213402193798002,0.019741923826875,0.015343787877647001,0.009589020469927,0.005763048731828001,0,0.8448999999999991,0.8,0.8900000000000001,1159869,0.44,0.050999999999999004,0.1,0.7142857142857141
HAMILTON,0.050417653300715,0.054017887479287006,0.06228993188958001,0.07237581478984001,0.06699441212292201,0.06385155796703701,0.062412771095673,0.065815678464457,0.07138003314044901,0.053104434233979,0.078943791915612,0.070929187118087,0.058866115719759006,0.05134940174693001,0.037978223483719,0.029815950278871003,0.024009837590887,0.016425170014688,0.009022147647498,0,0.5511,0.7299999999999991,0.8599999999999991,721053,0.42,0.062,0.136999999999999,0.14285714285714202
MONTREAL,0.056342980506421,0.049536877585749005,0.056454971181645004,0.071343026444946,0.06916703024319301,0.07501512867380901,0.074127894344371,0.06914070870977,0.071504432074427,0.054004585409775006,0.07536972442596,0.067985044402688,0.055892534641993,0.048330556742645005,0.036537019871019004,0.027258927655762002,0.021433922645979,0.013277723713789002,0.007276910726049001,0,0.6593,0.66,0.91,3824221,0.77,0.098,0.138,1.0
OTTAWA,0.054457781601399004,0.052970058917156004,0.061300850755848006,0.07617883625339601,0.07375569181001401,0.07053368352853501,0.068427656924017,0.069659712833865,0.072807372913888,0.05503132486977601,0.080053287935411,0.069967726811327,0.056434078180927,0.047200486753123,0.032483336140357005,0.023497824935779003,0.017351959833763,0.011048294467431,0.006840034533980001,0,0.5328,0.79,0.91,1236324,0.49,0.067,0.128,0.42857142857142805
SASKATOON,0.062471310630201005,0.05431521384806701,0.058822355422207005,0.085765415754705,0.102077609318972,0.08564234251614901,0.07066732305727201,0.06383509516555,0.06122394672591901,0.058353346594197004,0.06832227891722101,0.062584404957523,0.048690434215690005,0.035927406747074,0.02534976083876,0.020503336282655,0.016807812822235,0.011226275138540001,0.007414331047053001,0,0.9909,0.77,0.8900000000000001,260600,0.0,0.04,0.068,0.28571428571428503
TORONTO,0.053736101579266005,0.054634590347908005,0.06357092892608701,0.07273085761504301,0.07370464704137701,0.07437227984630701,0.07155907369622501,0.07301686800785501,0.07584955985444501,0.055132961806053,0.077314289752967,0.06562815610486801,0.053129567992200005,0.043824157111519005,0.030844371374917003,0.024473209148897,0.018273124732897,0.011544119249820002,0.006661135811341001,0,0.47139999999999904,0.6899999999999991,0.8499999999999991,5583064,0.78,0.095,0.21600000000000003,0.5714285714285711
VANCOUVER,0.046732588778074007,0.048940832428918,0.061900449704467,0.074836992756717,0.074464971507382,0.076065593944676,0.070179642948659,0.073289400551919,0.07512278927688201,0.048128781693154,0.077258976581282,0.06910729878164,0.058151900445656005,0.048020292362553,0.033804141944525,0.025339545292069002,0.019148771661939002,0.012234600890826001,0.007272428448655,0,0.9026000000000001,0.75,0.87,2313328,0.74,0.047,0.09099999999999901,0.28571428571428503
WINNIPEG,0.054495042420525004,0.056324747010119004,0.063846723908821,0.07403914954512901,0.07601068179495,0.0733542880507,0.068368598589389,0.06672671982009601,0.068051722375549,0.054693090054175005,0.075405039353981,0.06750741081467801,0.057067106204640006,0.046504139834406,0.032036440764591,0.024154144945313,0.019578605744659,0.013281968721251002,0.008554380047020001,0,0.8316999999999991,0.7299999999999991,0.88,730018,0.51,0.059999999999999006,0.11699999999999901,0.42857142857142805
