CITY,OUTDOOR
"Montréal, Quebec [24462] ",66
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",79
"Toronto, Ontario [35535] ",69
"Hamilton, Ontario [35537] ",73
"Winnipeg, Manitoba [46602] ",73
"Saskatoon, Saskatchewan [47725] ",77
"Calgary, Alberta [48825] ",69
"Edmonton, Alberta [48835] ",80
"Vancouver, British Columbia [59933] ",75
