CITY,CRIME_SEVERITY_INDEX
"Montréal, Quebec (28,34)",65.93
"Ottawa-Gatineau, Ontario/Quebec (6)",53.28
"Toronto, Ontario (25)",47.14
"Hamilton, Ontario (25)",55.11
"Winnipeg, Manitoba (9,10,33)",83.17
"Saskatoon, Saskatchewan",99.09
"Calgary, Alberta",60.40
"Edmonton, Alberta",84.49
"Vancouver, British Columbia (12,13,14)",90.26
