CITY,PARKS
"Montreal, Quebec [24462]",91
"Ottawa-Gatineau, Ontario/Quebec [24505 35505]",91
"Toronto, Ontario [35535]",85
"Hamilton, Ontario [35537]",86
"Winnipeg, Manitoba [46602]",88
"Saskatoon, Saskatchewan [47725]",89
"Calgary, Alberta [48825]",88
"Edmonton, Alberta [48835]",89
"Vancouver, British Columbia [59933]",87
